wavelength	flux	error
3949.500000	0.906343	0.000000
3950.000000	0.912540	0.000000
3950.500000	0.898992	0.000000
3951.000000	0.866615	0.000000
3951.500000	0.887269	0.000000
3952.000000	0.931472	0.000000
3952.500000	0.895098	0.000000
3953.000000	0.849984	0.000000
3953.500000	0.859083	0.000000
3954.000000	0.858729	0.000000
3954.500000	0.827098	0.000000
3955.000000	0.803425	0.000000
3955.500000	0.791172	0.000000
3956.000000	0.793378	0.000000
3956.500000	0.805647	0.000000
3957.000000	0.794337	0.000000
3957.500000	0.775881	0.000000
3958.000000	0.814814	0.000000
3958.500000	0.843551	0.000000
3959.000000	0.775672	0.000000
3959.500000	0.714111	0.000000
3960.000000	0.667362	0.000000
3960.500000	0.658943	0.000000
3961.000000	0.692741	0.000000
3961.500000	0.687503	0.000000
3962.000000	0.661424	0.000000
3962.500000	0.644257	0.000000
3963.000000	0.628930	0.000000
3963.500000	0.611099	0.000000
3964.000000	0.590786	0.000000
3964.500000	0.559038	0.000000
3965.000000	0.525574	0.000000
3965.500000	0.488972	0.000000
3966.000000	0.437506	0.000000
3966.500000	0.372747	0.000000
3967.000000	0.339024	0.000000
3967.500000	0.319459	0.000000
3968.000000	0.293776	0.000000
3968.500000	0.266896	0.000000
3969.000000	0.244876	0.000000
3969.500000	0.240955	0.000000
3970.000000	0.305693	0.000000
3970.500000	0.342331	0.000000
3971.000000	0.335340	0.000000
3971.500000	0.316279	0.000000
3972.000000	0.287622	0.000000
3972.500000	0.286301	0.000000
3973.000000	0.294875	0.000000
3973.500000	0.336833	0.000000
3974.000000	0.381189	0.000000
3974.500000	0.417429	0.000000
3975.000000	0.458908	0.000000
3975.500000	0.518166	0.000000
3976.000000	0.547517	0.000000
3976.500000	0.534825	0.000000
3977.000000	0.540781	0.000000
3977.500000	0.560231	0.000000
3978.000000	0.556988	0.000000
3978.500000	0.546301	0.000000
3979.000000	0.604767	0.000000
3979.500000	0.664218	0.000000
3980.000000	0.663550	0.000000
3980.500000	0.678090	0.000000
3981.000000	0.737878	0.000000
