wavelength	flux	error
3850.000000	0.914828	0.000000
3850.500000	0.931834	0.000000
3851.000000	0.943552	0.000000
3851.500000	0.942764	0.000000
3852.000000	0.938811	0.000000
3852.500000	0.931979	0.000000
3853.000000	0.938497	0.000000
3853.500000	0.949475	0.000000
3854.000000	0.962617	0.000000
3854.500000	0.974190	0.000000
3855.000000	0.979270	0.000000
3855.500000	0.975571	0.000000
3856.000000	0.960006	0.000000
3856.500000	0.960150	0.000000
3857.000000	0.968765	0.000000
3857.500000	0.969419	0.000000
3858.000000	0.968081	0.000000
3858.500000	0.958922	0.000000
3859.000000	0.956949	0.000000
3859.500000	0.970220	0.000000
3860.000000	0.977592	0.000000
3860.500000	0.979999	0.000000
3861.000000	0.965926	0.000000
3861.500000	0.946797	0.000000
3862.000000	0.981132	0.000000
3862.500000	1.003724	0.000000
3863.000000	0.979227	0.000000
3863.500000	0.964073	0.000000
3864.000000	0.961313	0.000000
3864.500000	0.967902	0.000000
3865.000000	0.979514	0.000000
3865.500000	0.991349	0.000000
3866.000000	0.999733	0.000000
3866.500000	0.973238	0.000000
3867.000000	0.956885	0.000000
3867.500000	0.963102	0.000000
3868.000000	0.970147	0.000000
3868.500000	0.977931	0.000000
3869.000000	0.970913	0.000000
3869.500000	0.958902	0.000000
3870.000000	0.944936	0.000000
3870.500000	0.935922	0.000000
3871.000000	0.949201	0.000000
3871.500000	0.950869	0.000000
3872.000000	0.935218	0.000000
3872.500000	0.917497	0.000000
3873.000000	0.898496	0.000000
3873.500000	0.917265	0.000000
3874.000000	0.939751	0.000000
3874.500000	0.892668	0.000000
3875.000000	0.860133	0.000000
3875.500000	0.867587	0.000000
3876.000000	0.872627	0.000000
3876.500000	0.875074	0.000000
3877.000000	0.862271	0.000000
3877.500000	0.842843	0.000000
3878.000000	0.830747	0.000000
3878.500000	0.817782	0.000000
3879.000000	0.793843	0.000000
3879.500000	0.773214	0.000000
3880.000000	0.759026	0.000000
3880.500000	0.750349	0.000000
3881.000000	0.746129	0.000000
3881.500000	0.708866	0.000000
3882.000000	0.661444	0.000000
3882.500000	0.653336	0.000000
3883.000000	0.636624	0.000000
3883.500000	0.579806	0.000000
3884.000000	0.548594	0.000000
3884.500000	0.555505	0.000000
3885.000000	0.530900	0.000000
3885.500000	0.486412	0.000000
3886.000000	0.455393	0.000000
3886.500000	0.427166	0.000000
3887.000000	0.397421	0.000000
3887.500000	0.369431	0.000000
3888.000000	0.346824	0.000000
3888.500000	0.319179	0.000000
3889.000000	0.285508	0.000000
3889.500000	0.266982	0.000000
3890.000000	0.256147	0.000000
3890.500000	0.261723	0.000000
3891.000000	0.272660	0.000000
3891.500000	0.317300	0.000000
3892.000000	0.356440	0.000000
3892.500000	0.382142	0.000000
3893.000000	0.399502	0.000000
3893.500000	0.408407	0.000000
3894.000000	0.434402	0.000000
3894.500000	0.467607	0.000000
3895.000000	0.525037	0.000000
3895.500000	0.578751	0.000000
3896.000000	0.585936	0.000000
3896.500000	0.593726	0.000000
3897.000000	0.602751	0.000000
3897.500000	0.626850	0.000000
3898.000000	0.664456	0.000000
3898.500000	0.682518	0.000000
3899.000000	0.693456	0.000000
3899.500000	0.718890	0.000000
3900.000000	0.743412	0.000000
3900.500000	0.756352	0.000000
3901.000000	0.768368	0.000000
3901.500000	0.778610	0.000000
3902.000000	0.793435	0.000000
3902.500000	0.812039	0.000000
3903.000000	0.814821	0.000000
3903.500000	0.812376	0.000000
3904.000000	0.840255	0.000000
3904.500000	0.866152	0.000000
3905.000000	0.873325	0.000000
3905.500000	0.877544	0.000000
3906.000000	0.876449	0.000000
3906.500000	0.889853	0.000000
3907.000000	0.914696	0.000000
3907.500000	0.921992	0.000000
3908.000000	0.923751	0.000000
3908.500000	0.920782	0.000000
3909.000000	0.919612	0.000000
3909.500000	0.928843	0.000000
3910.000000	0.939595	0.000000
3910.500000	0.953042	0.000000
3911.000000	0.956166	0.000000
3911.500000	0.951161	0.000000
3912.000000	0.953465	0.000000
3912.500000	0.958098	0.000000
3913.000000	0.952999	0.000000
3913.500000	0.948617	0.000000
3914.000000	0.950566	0.000000
3914.500000	0.956849	0.000000
3915.000000	0.971100	0.000000
3915.500000	0.977856	0.000000
3916.000000	0.978464	0.000000
3916.500000	0.970393	0.000000
3917.000000	0.959366	0.000000
3917.500000	0.971987	0.000000
3918.000000	0.983201	0.000000
