wavelength	flux	error
3850.000000	0.858199	0.000000
3850.500000	0.827143	0.000000
3851.000000	0.859187	0.000000
3851.500000	0.892973	0.000000
3852.000000	0.887238	0.000000
3852.500000	0.890642	0.000000
3853.000000	0.911096	0.000000
3853.500000	0.919858	0.000000
3854.000000	0.919971	0.000000
3854.500000	0.946029	0.000000
3855.000000	0.976738	0.000000
3855.500000	0.936876	0.000000
3856.000000	0.903587	0.000000
3856.500000	0.890111	0.000000
3857.000000	0.891519	0.000000
3857.500000	0.909464	0.000000
3858.000000	0.926082	0.000000
3858.500000	0.942126	0.000000
3859.000000	0.971856	0.000000
3859.500000	0.994262	0.000000
3860.000000	0.965954	0.000000
3860.500000	0.936962	0.000000
3861.000000	0.906795	0.000000
3861.500000	0.914978	0.000000
3862.000000	0.950026	0.000000
3862.500000	0.953785	0.000000
3863.000000	0.949701	0.000000
3863.500000	0.930196	0.000000
3864.000000	0.922993	0.000000
3864.500000	0.952343	0.000000
3865.000000	0.958135	0.000000
3865.500000	0.937591	0.000000
3866.000000	0.943197	0.000000
3866.500000	0.960438	0.000000
3867.000000	0.977348	0.000000
3867.500000	0.993020	0.000000
3868.000000	1.000587	0.000000
3868.500000	0.999822	0.000000
3869.000000	0.983551	0.000000
3869.500000	0.968459	0.000000
3870.000000	0.954264	0.000000
3870.500000	0.960981	0.000000
3871.000000	0.973285	0.000000
3871.500000	0.954433	0.000000
3872.000000	0.937869	0.000000
3872.500000	0.929407	0.000000
3873.000000	0.928334	0.000000
3873.500000	0.936764	0.000000
3874.000000	0.928258	0.000000
3874.500000	0.910762	0.000000
3875.000000	0.878171	0.000000
3875.500000	0.847921	0.000000
3876.000000	0.867443	0.000000
3876.500000	0.875523	0.000000
3877.000000	0.857008	0.000000
3877.500000	0.833761	0.000000
3878.000000	0.806057	0.000000
3878.500000	0.816113	0.000000
3879.000000	0.840120	0.000000
3879.500000	0.803214	0.000000
3880.000000	0.767007	0.000000
3880.500000	0.754489	0.000000
3881.000000	0.737368	0.000000
3881.500000	0.712477	0.000000
3882.000000	0.679834	0.000000
3882.500000	0.641662	0.000000
3883.000000	0.630710	0.000000
3883.500000	0.626617	0.000000
3884.000000	0.595871	0.000000
3884.500000	0.563414	0.000000
3885.000000	0.524643	0.000000
3885.500000	0.483028	0.000000
3886.000000	0.437598	0.000000
3886.500000	0.408913	0.000000
3887.000000	0.389683	0.000000
3887.500000	0.361598	0.000000
3888.000000	0.331942	0.000000
3888.500000	0.301666	0.000000
3889.000000	0.276269	0.000000
3889.500000	0.264094	0.000000
3890.000000	0.267596	0.000000
3890.500000	0.288248	0.000000
3891.000000	0.305762	0.000000
3891.500000	0.321839	0.000000
3892.000000	0.336856	0.000000
3892.500000	0.353140	0.000000
3893.000000	0.381746	0.000000
3893.500000	0.414659	0.000000
3894.000000	0.457213	0.000000
3894.500000	0.486782	0.000000
3895.000000	0.504157	0.000000
3895.500000	0.531777	0.000000
3896.000000	0.563343	0.000000
3896.500000	0.602582	0.000000
3897.000000	0.641666	0.000000
3897.500000	0.675860	0.000000
3898.000000	0.706281	0.000000
3898.500000	0.729335	0.000000
3899.000000	0.718165	0.000000
3899.500000	0.678267	0.000000
3900.000000	0.694270	0.000000
3900.500000	0.729118	0.000000
3901.000000	0.738920	0.000000
3901.500000	0.754010	0.000000
3902.000000	0.804638	0.000000
3902.500000	0.841346	0.000000
3903.000000	0.853137	0.000000
3903.500000	0.851476	0.000000
3904.000000	0.839298	0.000000
3904.500000	0.850188	0.000000
3905.000000	0.868231	0.000000
3905.500000	0.860924	0.000000
3906.000000	0.861137	0.000000
3906.500000	0.903385	0.000000
3907.000000	0.924053	0.000000
3907.500000	0.907625	0.000000
3908.000000	0.918379	0.000000
3908.500000	0.949770	0.000000
3909.000000	0.964631	0.000000
3909.500000	0.974531	0.000000
3910.000000	0.955368	0.000000
3910.500000	0.942589	0.000000
3911.000000	0.966097	0.000000
3911.500000	0.984123	0.000000
3912.000000	0.992678	0.000000
3912.500000	0.975859	0.000000
3913.000000	0.939533	0.000000
3913.500000	0.942074	0.000000
3914.000000	0.956650	0.000000
3914.500000	0.952442	0.000000
3915.000000	0.948374	0.000000
3915.500000	0.949034	0.000000
3916.000000	0.950431	0.000000
3916.500000	0.953161	0.000000
3917.000000	0.960222	0.000000
3917.500000	0.970801	0.000000
3918.000000	0.980645	0.000000
3918.500000	0.990247	0.000000
3919.000000	0.975092	0.000000
3919.500000	0.963803	0.000000
3920.000000	0.985585	0.000000
3920.500000	0.993418	0.000000
3921.000000	0.973402	0.000000
3921.500000	0.964171	0.000000
3922.000000	0.964572	0.000000
3922.500000	0.979832	0.000000
3923.000000	1.000812	0.000000
3923.500000	0.984485	0.000000
3924.000000	0.967272	0.000000
3924.500000	0.970871	0.000000
3925.000000	0.979715	0.000000
3925.500000	1.000693	0.000000
3926.000000	0.999057	0.000000
3926.500000	0.974257	0.000000
3927.000000	0.968610	0.000000
3927.500000	0.971728	0.000000
3928.000000	0.981723	0.000000
3928.500000	0.991966	0.000000
3929.000000	0.992552	0.000000
3929.500000	0.981879	0.000000
3930.000000	0.939061	0.000000
3930.500000	0.937580	0.000000
3931.000000	0.986738	0.000000
3931.500000	0.955294	0.000000
3932.000000	0.878366	0.000000
3932.500000	0.859599	0.000000
3933.000000	0.852400	0.000000
3933.500000	0.821446	0.000000
3934.000000	0.790575	0.000000
3934.500000	0.760082	0.000000
3935.000000	0.756835	0.000000
3935.500000	0.795415	0.000000
3936.000000	0.846564	0.000000
3936.500000	0.906737	0.000000
3937.000000	0.936960	0.000000
3937.500000	0.958227	0.000000
3938.000000	0.949341	0.000000
3938.500000	0.942264	0.000000
3939.000000	0.954226	0.000000
3939.500000	0.965308	0.000000
3940.000000	0.974592	0.000000
3940.500000	0.970857	0.000000
3941.000000	0.954849	0.000000
3941.500000	0.939955	0.000000
3942.000000	0.925535	0.000000
3942.500000	0.938832	0.000000
3943.000000	0.955059	0.000000
3943.500000	0.962088	0.000000
3944.000000	0.964637	0.000000
3944.500000	0.953961	0.000000
3945.000000	0.937885	0.000000
3945.500000	0.914845	0.000000
3946.000000	0.924486	0.000000
3946.500000	0.954174	0.000000
3947.000000	0.945337	0.000000
3947.500000	0.927029	0.000000
3948.000000	0.925575	0.000000
3948.500000	0.924148	0.000000
3949.000000	0.921556	0.000000
3949.500000	0.916514	0.000000
3950.000000	0.906885	0.000000
3950.500000	0.908657	0.000000
3951.000000	0.920571	0.000000
3951.500000	0.923403	0.000000
3952.000000	0.922559	0.000000
3952.500000	0.924034	0.000000
3953.000000	0.926022	0.000000
3953.500000	0.929977	0.000000
3954.000000	0.937536	0.000000
3954.500000	0.955667	0.000000
3955.000000	0.947575	0.000000
3955.500000	0.904333	0.000000
3956.000000	0.879859	0.000000
3956.500000	0.867648	0.000000
3957.000000	0.871292	0.000000
3957.500000	0.879408	0.000000
3958.000000	0.867361	0.000000
3958.500000	0.851386	0.000000
3959.000000	0.816212	0.000000
3959.500000	0.786269	0.000000
3960.000000	0.767927	0.000000
3960.500000	0.757572	0.000000
3961.000000	0.755427	0.000000
3961.500000	0.728771	0.000000
3962.000000	0.689827	0.000000
3962.500000	0.693511	0.000000
3963.000000	0.704371	0.000000
3963.500000	0.689781	0.000000
3964.000000	0.671735	0.000000
3964.500000	0.639803	0.000000
3965.000000	0.604361	0.000000
3965.500000	0.562981	0.000000
3966.000000	0.532668	0.000000
3966.500000	0.511680	0.000000
3967.000000	0.480256	0.000000
3967.500000	0.444712	0.000000
3968.000000	0.403844	0.000000
3968.500000	0.362786	0.000000
3969.000000	0.329035	0.000000
3969.500000	0.300106	0.000000
3970.000000	0.286977	0.000000
3970.500000	0.278463	0.000000
3971.000000	0.276701	0.000000
3971.500000	0.281535	0.000000
3972.000000	0.291189	0.000000
3972.500000	0.304495	0.000000
3973.000000	0.319015	0.000000
3973.500000	0.345352	0.000000
3974.000000	0.374221	0.000000
3974.500000	0.418607	0.000000
3975.000000	0.462454	0.000000
3975.500000	0.504926	0.000000
3976.000000	0.534932	0.000000
3976.500000	0.548402	0.000000
3977.000000	0.569548	0.000000
3977.500000	0.595778	0.000000
3978.000000	0.634513	0.000000
3978.500000	0.676886	0.000000
3979.000000	0.688041	0.000000
3979.500000	0.698613	0.000000
3980.000000	0.723434	0.000000
3980.500000	0.744085	0.000000
3981.000000	0.753401	0.000000
3981.500000	0.761940	0.000000
3982.000000	0.769393	0.000000
3982.500000	0.781598	0.000000
3983.000000	0.796983	0.000000
3983.500000	0.801444	0.000000
3984.000000	0.802680	0.000000
3984.500000	0.814819	0.000000
3985.000000	0.827598	0.000000
3985.500000	0.838704	0.000000
3986.000000	0.851638	0.000000
3986.500000	0.869694	0.000000
3987.000000	0.880036	0.000000
3987.500000	0.880067	0.000000
3988.000000	0.880748	0.000000
3988.500000	0.881875	0.000000
3989.000000	0.898341	0.000000
3989.500000	0.919786	0.000000
3990.000000	0.929499	0.000000
3990.500000	0.937538	0.000000
3991.000000	0.938428	0.000000
3991.500000	0.938505	0.000000
3992.000000	0.935992	0.000000
3992.500000	0.931541	0.000000
3993.000000	0.924219	0.000000
3993.500000	0.921065	0.000000
3994.000000	0.921123	0.000000
3994.500000	0.922642	0.000000
3995.000000	0.924722	0.000000
3995.500000	0.920682	0.000000
3996.000000	0.916526	0.000000
3996.500000	0.925836	0.000000
3997.000000	0.932866	0.000000
3997.500000	0.931055	0.000000
3998.000000	0.928921	0.000000
3998.500000	0.926214	0.000000
3999.000000	0.924731	0.000000
3999.500000	0.924360	0.000000
4000.000000	0.948024	0.000000
4000.500000	0.982905	0.000000
4001.000000	0.967136	0.000000
4001.500000	0.941715	0.000000
4002.000000	0.940461	0.000000
4002.500000	0.941013	0.000000
4003.000000	0.951084	0.000000
4003.500000	0.950111	0.000000
4004.000000	0.924659	0.000000
4004.500000	0.916747	0.000000
4005.000000	0.928848	0.000000
4005.500000	0.936469	0.000000
4006.000000	0.941379	0.000000
4006.500000	0.959342	0.000000
4007.000000	0.981034	0.000000
4007.500000	0.957388	0.000000
4008.000000	0.934977	0.000000
4008.500000	0.959253	0.000000
4009.000000	0.977161	0.000000
4009.500000	0.975061	0.000000
4010.000000	0.981477	0.000000
4010.500000	1.000922	0.000000
4011.000000	0.996352	0.000000
4011.500000	0.972007	0.000000
4012.000000	0.948944	0.000000
4012.500000	0.926416	0.000000
4013.000000	0.924346	0.000000
4013.500000	0.925835	0.000000
4014.000000	0.937378	0.000000
4014.500000	0.945708	0.000000
4015.000000	0.936794	0.000000
4015.500000	0.936895	0.000000
4016.000000	0.957240	0.000000
4016.500000	0.971031	0.000000
4017.000000	0.977088	0.000000
4017.500000	0.980678	0.000000
4018.000000	0.982683	0.000000
4018.500000	0.980744	0.000000
4019.000000	0.977550	0.000000
4019.500000	0.966199	0.000000
4020.000000	0.953966	0.000000
4020.500000	0.940854	0.000000
4021.000000	0.940860	0.000000
4021.500000	0.991518	0.000000
4022.000000	1.004413	0.000000
4022.500000	0.948310	0.000000
4023.000000	0.936613	0.000000
4023.500000	0.969076	0.000000
4024.000000	0.960638	0.000000
4024.500000	0.930044	0.000000
4025.000000	0.919411	0.000000
4025.500000	0.913904	0.000000
4026.000000	0.928071	0.000000
4026.500000	0.941392	0.000000
4027.000000	0.933300	0.000000
4027.500000	0.932246	0.000000
4028.000000	0.954307	0.000000
4028.500000	0.963839	0.000000
4029.000000	0.952786	0.000000
4029.500000	0.942552	0.000000
4030.000000	0.933063	0.000000
4030.500000	0.954714	0.000000
4031.000000	0.991894	0.000000
4031.500000	0.962801	0.000000
4032.000000	0.918278	0.000000
4032.500000	0.940104	0.000000
4033.000000	0.961025	0.000000
4033.500000	0.944403	0.000000
4034.000000	0.930544	0.000000
4034.500000	0.925426	0.000000
4035.000000	0.930910	0.000000
4035.500000	0.953524	0.000000
4036.000000	0.958446	0.000000
4036.500000	0.947287	0.000000
4037.000000	0.946184	0.000000
4037.500000	0.950162	0.000000
4038.000000	0.958117	0.000000
4038.500000	0.967062	0.000000
4039.000000	0.965271	0.000000
4039.500000	0.963054	0.000000
4040.000000	0.962417	0.000000
4040.500000	0.964860	0.000000
4041.000000	0.977761	0.000000
4041.500000	0.972504	0.000000
4042.000000	0.935578	0.000000
4042.500000	0.931693	0.000000
4043.000000	0.960398	0.000000
4043.500000	0.969848	0.000000
4044.000000	0.968519	0.000000
4044.500000	0.953452	0.000000
4045.000000	0.934421	0.000000
4045.500000	0.932184	0.000000
4046.000000	0.931899	0.000000
4046.500000	0.941146	0.000000
4047.000000	0.949206	0.000000
4047.500000	0.952778	0.000000
4048.000000	0.951627	0.000000
4048.500000	0.940844	0.000000
4049.000000	0.943002	0.000000
4049.500000	0.960256	0.000000
4050.000000	0.962494	0.000000
4050.500000	0.954805	0.000000
4051.000000	0.957191	0.000000
4051.500000	0.963680	0.000000
4052.000000	0.970529	0.000000
4052.500000	0.977655	0.000000
4053.000000	0.938526	0.000000
4053.500000	0.909509	0.000000
4054.000000	0.948678	0.000000
4054.500000	0.975022	0.000000
4055.000000	0.967704	0.000000
4055.500000	0.958582	0.000000
4056.000000	0.947303	0.000000
4056.500000	0.961900	0.000000
4057.000000	0.999348	0.000000
4057.500000	0.990234	0.000000
4058.000000	0.957699	0.000000
4058.500000	0.963526	0.000000
4059.000000	0.979262	0.000000
4059.500000	0.972317	0.000000
4060.000000	0.964277	0.000000
4060.500000	0.966593	0.000000
4061.000000	0.969078	0.000000
4061.500000	0.972110	0.000000
4062.000000	0.973254	0.000000
4062.500000	0.970298	0.000000
4063.000000	0.965417	0.000000
4063.500000	0.958141	0.000000
4064.000000	0.954937	0.000000
4064.500000	0.954746	0.000000
4065.000000	0.958577	0.000000
4065.500000	0.964114	0.000000
4066.000000	0.965284	0.000000
4066.500000	0.965574	0.000000
4067.000000	0.974698	0.000000
4067.500000	0.981509	0.000000
4068.000000	0.959643	0.000000
4068.500000	0.945698	0.000000
4069.000000	0.961139	0.000000
4069.500000	0.972311	0.000000
4070.000000	0.975131	0.000000
4070.500000	0.976854	0.000000
4071.000000	0.977311	0.000000
4071.500000	0.962874	0.000000
4072.000000	0.938069	0.000000
4072.500000	0.936511	0.000000
4073.000000	0.944224	0.000000
4073.500000	0.936772	0.000000
4074.000000	0.926405	0.000000
4074.500000	0.933872	0.000000
4075.000000	0.941756	0.000000
4075.500000	0.946985	0.000000
4076.000000	0.950778	0.000000
4076.500000	0.949197	0.000000
4077.000000	0.943389	0.000000
4077.500000	0.929131	0.000000
4078.000000	0.922868	0.000000
4078.500000	0.926176	0.000000
4079.000000	0.927787	0.000000
4079.500000	0.928149	0.000000
4080.000000	0.924056	0.000000
4080.500000	0.918026	0.000000
4081.000000	0.919850	0.000000
4081.500000	0.923378	0.000000
4082.000000	0.927056	0.000000
4082.500000	0.930092	0.000000
4083.000000	0.923044	0.000000
4083.500000	0.916157	0.000000
4084.000000	0.909869	0.000000
4084.500000	0.902651	0.000000
4085.000000	0.893155	0.000000
4085.500000	0.886834	0.000000
4086.000000	0.884900	0.000000
4086.500000	0.884581	0.000000
4087.000000	0.885700	0.000000
4087.500000	0.878176	0.000000
4088.000000	0.866089	0.000000
4088.500000	0.855932	0.000000
4089.000000	0.846307	0.000000
4089.500000	0.841874	0.000000
4090.000000	0.837934	0.000000
4090.500000	0.826740	0.000000
4091.000000	0.813261	0.000000
4091.500000	0.784842	0.000000
4092.000000	0.760796	0.000000
4092.500000	0.751479	0.000000
4093.000000	0.740473	0.000000
4093.500000	0.726598	0.000000
4094.000000	0.710606	0.000000
4094.500000	0.692276	0.000000
4095.000000	0.680951	0.000000
4095.500000	0.674653	0.000000
4096.000000	0.644335	0.000000
4096.500000	0.603676	0.000000
4097.000000	0.574246	0.000000
4097.500000	0.547537	0.000000
4098.000000	0.516852	0.000000
4098.500000	0.486147	0.000000
4099.000000	0.457504	0.000000
4099.500000	0.430811	0.000000
4100.000000	0.413779	0.000000
4100.500000	0.389236	0.000000
4101.000000	0.342842	0.000000
4101.500000	0.304554	0.000000
4102.000000	0.280340	0.000000
4102.500000	0.266568	0.000000
4103.000000	0.264143	0.000000
4103.500000	0.280808	0.000000
4104.000000	0.310516	0.000000
4104.500000	0.336693	0.000000
4105.000000	0.361453	0.000000
4105.500000	0.389699	0.000000
4106.000000	0.419018	0.000000
4106.500000	0.463547	0.000000
4107.000000	0.509675	0.000000
4107.500000	0.543449	0.000000
4108.000000	0.576268	0.000000
4108.500000	0.600899	0.000000
4109.000000	0.622204	0.000000
4109.500000	0.636270	0.000000
4110.000000	0.650252	0.000000
4110.500000	0.669423	0.000000
4111.000000	0.680516	0.000000
4111.500000	0.684616	0.000000
4112.000000	0.712013	0.000000
4112.500000	0.755020	0.000000
4113.000000	0.774183	0.000000
4113.500000	0.781760	0.000000
4114.000000	0.797819	0.000000
4114.500000	0.816116	0.000000
4115.000000	0.858620	0.000000
4115.500000	0.904232	0.000000
4116.000000	0.891504	0.000000
4116.500000	0.881911	0.000000
4117.000000	0.901743	0.000000
4117.500000	0.916791	0.000000
4118.000000	0.910485	0.000000
4118.500000	0.905579	0.000000
4119.000000	0.903986	0.000000
4119.500000	0.902604	0.000000
4120.000000	0.902089	0.000000
4120.500000	0.910368	0.000000
4121.000000	0.928420	0.000000
4121.500000	0.924968	0.000000
4122.000000	0.908194	0.000000
4122.500000	0.899195	0.000000
4123.000000	0.893310	0.000000
4123.500000	0.904943	0.000000
4124.000000	0.920575	0.000000
4124.500000	0.904096	0.000000
4125.000000	0.886045	0.000000
4125.500000	0.927469	0.000000
4126.000000	0.960031	0.000000
4126.500000	0.926514	0.000000
4127.000000	0.904940	0.000000
4127.500000	0.925727	0.000000
4128.000000	0.934073	0.000000
4128.500000	0.915642	0.000000
4129.000000	0.902998	0.000000
4129.500000	0.898422	0.000000
4130.000000	0.892514	0.000000
4130.500000	0.885344	0.000000
4131.000000	0.894674	0.000000
4131.500000	0.914423	0.000000
4132.000000	0.907360	0.000000
4132.500000	0.889368	0.000000
4133.000000	0.900665	0.000000
4133.500000	0.918940	0.000000
4134.000000	0.926108	0.000000
4134.500000	0.932102	0.000000
4135.000000	0.933424	0.000000
4135.500000	0.933672	0.000000
4136.000000	0.923879	0.000000
4136.500000	0.918600	0.000000
4137.000000	0.932373	0.000000
4137.500000	0.934932	0.000000
4138.000000	0.909565	0.000000
4138.500000	0.905146	0.000000
4139.000000	0.934770	0.000000
4139.500000	0.958182	0.000000
4140.000000	0.974724	0.000000
4140.500000	0.971778	0.000000
4141.000000	0.954042	0.000000
4141.500000	0.943028	0.000000
4142.000000	0.935446	0.000000
4142.500000	0.929410	0.000000
4143.000000	0.923874	0.000000
4143.500000	0.923653	0.000000
4144.000000	0.924392	0.000000
4144.500000	0.911255	0.000000
4145.000000	0.898292	0.000000
4145.500000	0.920444	0.000000
4146.000000	0.938573	0.000000
4146.500000	0.927404	0.000000
4147.000000	0.923307	0.000000
4147.500000	0.945595	0.000000
4148.000000	0.959756	0.000000
4148.500000	0.955070	0.000000
4149.000000	0.954727	0.000000
4149.500000	0.961148	0.000000
4150.000000	0.978182	0.000000
4150.500000	1.006701	0.000000
4151.000000	0.999098	0.000000
4151.500000	0.964127	0.000000
4152.000000	0.960530	0.000000
4152.500000	0.973290	0.000000
4153.000000	0.986816	0.000000
4153.500000	1.000607	0.000000
4154.000000	0.984321	0.000000
4154.500000	0.961982	0.000000
4155.000000	0.968671	0.000000
4155.500000	0.977839	0.000000
4156.000000	0.977998	0.000000
4156.500000	0.976553	0.000000
4157.000000	0.959352	0.000000
4157.500000	0.948872	0.000000
4158.000000	0.969460	0.000000
4158.500000	0.980616	0.000000
4159.000000	0.965348	0.000000
4159.500000	0.961306	0.000000
4160.000000	0.978313	0.000000
4160.500000	0.976492	0.000000
4161.000000	0.949940	0.000000
4161.500000	0.942699	0.000000
4162.000000	0.953563	0.000000
4162.500000	0.957564	0.000000
4163.000000	0.956980	0.000000
4163.500000	0.956371	0.000000
4164.000000	0.955749	0.000000
4164.500000	0.951938	0.000000
4165.000000	0.947147	0.000000
4165.500000	0.941482	0.000000
4166.000000	0.935657	0.000000
4166.500000	0.952121	0.000000
4167.000000	0.970136	0.000000
4167.500000	0.973107	0.000000
4168.000000	0.976576	0.000000
4168.500000	0.985001	0.000000
4169.000000	0.986481	0.000000
4169.500000	0.954404	0.000000
4170.000000	0.935016	0.000000
4170.500000	0.953444	0.000000
4171.000000	0.962608	0.000000
4171.500000	0.953027	0.000000
4172.000000	0.940773	0.000000
4172.500000	0.924673	0.000000
4173.000000	0.916888	0.000000
4173.500000	0.917820	0.000000
4174.000000	0.922823	0.000000
4174.500000	0.930958	0.000000
4175.000000	0.938382	0.000000
4175.500000	0.945449	0.000000
4176.000000	0.939850	0.000000
4176.500000	0.929408	0.000000
4177.000000	0.933105	0.000000
4177.500000	0.940457	0.000000
4178.000000	0.927850	0.000000
4178.500000	0.912436	0.000000
4179.000000	0.909396	0.000000
4179.500000	0.907535	0.000000
4180.000000	0.924059	0.000000
4180.500000	0.939424	0.000000
4181.000000	0.944044	0.000000
4181.500000	0.947507	0.000000
4182.000000	0.945562	0.000000
4182.500000	0.947461	0.000000
4183.000000	0.961008	0.000000
4183.500000	0.964261	0.000000
4184.000000	0.946043	0.000000
4184.500000	0.936938	0.000000
4185.000000	0.941744	0.000000
4185.500000	0.949676	0.000000
4186.000000	0.961147	0.000000
4186.500000	0.962476	0.000000
4187.000000	0.955231	0.000000
4187.500000	0.955112	0.000000
4188.000000	0.959460	0.000000
4188.500000	0.954150	0.000000
4189.000000	0.944394	0.000000
4189.500000	0.949826	0.000000
4190.000000	0.960129	0.000000
4190.500000	0.964576	0.000000
4191.000000	0.967795	0.000000
