wavelength	flux	error
3850.000000	0.822068	0.000000
3850.500000	0.845503	0.000000
3851.000000	0.866076	0.000000
3851.500000	0.853420	0.000000
3852.000000	0.839115	0.000000
3852.500000	0.822005	0.000000
3853.000000	0.856375	0.000000
3853.500000	0.925662	0.000000
3854.000000	0.915506	0.000000
3854.500000	0.889604	0.000000
3855.000000	0.894461	0.000000
3855.500000	0.908748	0.000000
3856.000000	0.948334	0.000000
3856.500000	0.967803	0.000000
3857.000000	0.966807	0.000000
3857.500000	0.969281	0.000000
3858.000000	0.973108	0.000000
3858.500000	0.910840	0.000000
3859.000000	0.856979	0.000000
3859.500000	0.865269	0.000000
3860.000000	0.882389	0.000000
3860.500000	0.913375	0.000000
3861.000000	0.920769	0.000000
3861.500000	0.913158	0.000000
3862.000000	0.875389	0.000000
3862.500000	0.838621	0.000000
3863.000000	0.923537	0.000000
3863.500000	0.989387	0.000000
3864.000000	1.005078	0.000000
3864.500000	0.999323	0.000000
3865.000000	0.971800	0.000000
3865.500000	0.971702	0.000000
3866.000000	0.982452	0.000000
3866.500000	0.957124	0.000000
3867.000000	0.934905	0.000000
3867.500000	0.942811	0.000000
3868.000000	0.940574	0.000000
3868.500000	0.921420	0.000000
3869.000000	0.915057	0.000000
3869.500000	0.917456	0.000000
3870.000000	0.934581	0.000000
3870.500000	0.954801	0.000000
3871.000000	0.964227	0.000000
3871.500000	0.960255	0.000000
3872.000000	0.915400	0.000000
3872.500000	0.896558	0.000000
3873.000000	0.907803	0.000000
3873.500000	0.867166	0.000000
3874.000000	0.802135	0.000000
3874.500000	0.764441	0.000000
3875.000000	0.740667	0.000000
3875.500000	0.802061	0.000000
3876.000000	0.821868	0.000000
3876.500000	0.756157	0.000000
3877.000000	0.740915	0.000000
3877.500000	0.768238	0.000000
3878.000000	0.792775	0.000000
3878.500000	0.816321	0.000000
3879.000000	0.802309	0.000000
3879.500000	0.787894	0.000000
3880.000000	0.777218	0.000000
3880.500000	0.730226	0.000000
3881.000000	0.628649	0.000000
3881.500000	0.650139	0.000000
3882.000000	0.750043	0.000000
3882.500000	0.713133	0.000000
3883.000000	0.646893	0.000000
3883.500000	0.561818	0.000000
3884.000000	0.499405	0.000000
3884.500000	0.506919	0.000000
3885.000000	0.479660	0.000000
3885.500000	0.410354	0.000000
3886.000000	0.389056	0.000000
3886.500000	0.390852	0.000000
3887.000000	0.399486	0.000000
3887.500000	0.403809	0.000000
3888.000000	0.354809	0.000000
3888.500000	0.323701	0.000000
3889.000000	0.334718	0.000000
3889.500000	0.318154	0.000000
3890.000000	0.274866	0.000000
3890.500000	0.256351	0.000000
3891.000000	0.247611	0.000000
3891.500000	0.308663	0.000000
3892.000000	0.362710	0.000000
3892.500000	0.334369	0.000000
3893.000000	0.318866	0.000000
3893.500000	0.328202	0.000000
3894.000000	0.373652	0.000000
3894.500000	0.449090	0.000000
3895.000000	0.469852	0.000000
3895.500000	0.472945	0.000000
3896.000000	0.512333	0.000000
3896.500000	0.556180	0.000000
3897.000000	0.620111	0.000000
3897.500000	0.631512	0.000000
3898.000000	0.572568	0.000000
3898.500000	0.584359	0.000000
3899.000000	0.646291	0.000000
3899.500000	0.665299	0.000000
3900.000000	0.672397	0.000000
3900.500000	0.647557	0.000000
3901.000000	0.639028	0.000000
3901.500000	0.702532	0.000000
3902.000000	0.744927	0.000000
3902.500000	0.754644	0.000000
3903.000000	0.751835	0.000000
3903.500000	0.740512	0.000000
3904.000000	0.742839	0.000000
3904.500000	0.748630	0.000000
3905.000000	0.805129	0.000000
3905.500000	0.850109	0.000000
3906.000000	0.849491	0.000000
3906.500000	0.849655	0.000000
3907.000000	0.850971	0.000000
3907.500000	0.858635	0.000000
3908.000000	0.870465	0.000000
3908.500000	0.832520	0.000000
3909.000000	0.783216	0.000000
3909.500000	0.893595	0.000000
3910.000000	0.965735	0.000000
3910.500000	0.888717	0.000000
3911.000000	0.855504	0.000000
3911.500000	0.887105	0.000000
3912.000000	0.873807	0.000000
3912.500000	0.830839	0.000000
3913.000000	0.846315	0.000000
3913.500000	0.876353	0.000000
3914.000000	0.960345	0.000000
3914.500000	1.010223	0.000000
3915.000000	0.919906	0.000000
3915.500000	0.840708	0.000000
3916.000000	0.778692	0.000000
3916.500000	0.800002	0.000000
3917.000000	0.879236	0.000000
3917.500000	0.887010	0.000000
3918.000000	0.875366	0.000000
3918.500000	0.837483	0.000000
3919.000000	0.811626	0.000000
3919.500000	0.843649	0.000000
3920.000000	0.866226	0.000000
3920.500000	0.872896	0.000000
3921.000000	0.877752	0.000000
3921.500000	0.881225	0.000000
3922.000000	0.862235	0.000000
3922.500000	0.836208	0.000000
3923.000000	0.876555	0.000000
3923.500000	0.906689	0.000000
3924.000000	0.860738	0.000000
3924.500000	0.851689	0.000000
3925.000000	0.913702	0.000000
3925.500000	0.929792	0.000000
3926.000000	0.905865	0.000000
3926.500000	0.944005	0.000000
3927.000000	1.005516	0.000000
3927.500000	0.974826	0.000000
3928.000000	0.940505	0.000000
3928.500000	0.943286	0.000000
3929.000000	0.935735	0.000000
3929.500000	0.904140	0.000000
3930.000000	0.882248	0.000000
3930.500000	0.870415	0.000000
3931.000000	0.876598	0.000000
3931.500000	0.891219	0.000000
3932.000000	0.896378	0.000000
3932.500000	0.898412	0.000000
3933.000000	0.873499	0.000000
3933.500000	0.844676	0.000000
3934.000000	0.804081	0.000000
3934.500000	0.785362	0.000000
3935.000000	0.794810	0.000000
3935.500000	0.801850	0.000000
3936.000000	0.807448	0.000000
3936.500000	0.841948	0.000000
3937.000000	0.883119	0.000000
3937.500000	0.906122	0.000000
3938.000000	0.915481	0.000000
3938.500000	0.865380	0.000000
3939.000000	0.835973	0.000000
3939.500000	0.841371	0.000000
3940.000000	0.865784	0.000000
3940.500000	0.905211	0.000000
3941.000000	0.914201	0.000000
3941.500000	0.912736	0.000000
3942.000000	0.897621	0.000000
3942.500000	0.882440	0.000000
3943.000000	0.875051	0.000000
3943.500000	0.856482	0.000000
3944.000000	0.817701	0.000000
3944.500000	0.835091	0.000000
3945.000000	0.879939	0.000000
3945.500000	0.902752	0.000000
3946.000000	0.917673	0.000000
3946.500000	0.870206	0.000000
3947.000000	0.815817	0.000000
3947.500000	0.896853	0.000000
3948.000000	0.940436	0.000000
3948.500000	0.845982	0.000000
3949.000000	0.810621	0.000000
3949.500000	0.865809	0.000000
3950.000000	0.891652	0.000000
3950.500000	0.895965	0.000000
3951.000000	0.872579	0.000000
3951.500000	0.840366	0.000000
3952.000000	0.817636	0.000000
3952.500000	0.801002	0.000000
3953.000000	0.826120	0.000000
3953.500000	0.827382	0.000000
3954.000000	0.772807	0.000000
3954.500000	0.754034	0.000000
3955.000000	0.774988	0.000000
3955.500000	0.764616	0.000000
3956.000000	0.738602	0.000000
3956.500000	0.779500	0.000000
3957.000000	0.836792	0.000000
3957.500000	0.796833	0.000000
3958.000000	0.756303	0.000000
3958.500000	0.728073	0.000000
3959.000000	0.732196	0.000000
3959.500000	0.794919	0.000000
3960.000000	0.780639	0.000000
3960.500000	0.701383	0.000000
3961.000000	0.658948	0.000000
3961.500000	0.630930	0.000000
3962.000000	0.641227	0.000000
3962.500000	0.650224	0.000000
3963.000000	0.583341	0.000000
3963.500000	0.532230	0.000000
3964.000000	0.529561	0.000000
3964.500000	0.528591	0.000000
3965.000000	0.529972	0.000000
3965.500000	0.532145	0.000000
3966.000000	0.534888	0.000000
3966.500000	0.484995	0.000000
3967.000000	0.419214	0.000000
3967.500000	0.391657	0.000000
3968.000000	0.369185	0.000000
3968.500000	0.367398	0.000000
3969.000000	0.353667	0.000000
3969.500000	0.309998	0.000000
3970.000000	0.274932	0.000000
3970.500000	0.250054	0.000000
3971.000000	0.238839	0.000000
3971.500000	0.235695	0.000000
3972.000000	0.244068	0.000000
3972.500000	0.255309	0.000000
3973.000000	0.301699	0.000000
3973.500000	0.351628	0.000000
3974.000000	0.416722	0.000000
3974.500000	0.460084	0.000000
3975.000000	0.456010	0.000000
3975.500000	0.500080	0.000000
3976.000000	0.596023	0.000000
3976.500000	0.605908	0.000000
3977.000000	0.569780	0.000000
3977.500000	0.596438	0.000000
3978.000000	0.637144	0.000000
3978.500000	0.613830	0.000000
3979.000000	0.606724	0.000000
3979.500000	0.691949	0.000000
3980.000000	0.730105	0.000000
3980.500000	0.669317	0.000000
3981.000000	0.667680	0.000000
3981.500000	0.727516	0.000000
3982.000000	0.769254	0.000000
3982.500000	0.801390	0.000000
3983.000000	0.821912	0.000000
3983.500000	0.839826	0.000000
3984.000000	0.819697	0.000000
3984.500000	0.801554	0.000000
3985.000000	0.796420	0.000000
3985.500000	0.821624	0.000000
3986.000000	0.911297	0.000000
3986.500000	0.942514	0.000000
3987.000000	0.912183	0.000000
3987.500000	0.870426	0.000000
3988.000000	0.823147	0.000000
3988.500000	0.832951	0.000000
3989.000000	0.856972	0.000000
3989.500000	0.906030	0.000000
3990.000000	0.948933	0.000000
3990.500000	0.971511	0.000000
3991.000000	0.970500	0.000000
3991.500000	0.923270	0.000000
3992.000000	0.878188	0.000000
3992.500000	0.833277	0.000000
3993.000000	0.852540	0.000000
3993.500000	0.910276	0.000000
3994.000000	0.916439	0.000000
3994.500000	0.907996	0.000000
3995.000000	0.876051	0.000000
3995.500000	0.846553	0.000000
3996.000000	0.850999	0.000000
3996.500000	0.858796	0.000000
3997.000000	0.875808	0.000000
3997.500000	0.887103	0.000000
3998.000000	0.890619	0.000000
3998.500000	0.880262	0.000000
3999.000000	0.859996	0.000000
3999.500000	0.874034	0.000000
4000.000000	0.900020	0.000000
4000.500000	0.902343	0.000000
4001.000000	0.902673	0.000000
4001.500000	0.913314	0.000000
4002.000000	0.918303	0.000000
4002.500000	0.902666	0.000000
4003.000000	0.895186	0.000000
4003.500000	0.901496	0.000000
4004.000000	0.914454	0.000000
4004.500000	0.933350	0.000000
4005.000000	0.916807	0.000000
4005.500000	0.883902	0.000000
4006.000000	0.865276	0.000000
4006.500000	0.849361	0.000000
