Nested Sampling Global Log-Evidence           :   -0.758824474727652643E+01  +/-    0.884345486643389050E-01
Nested Importance Sampling Global Log-Evidence:   -0.906705197147736897E+01  +/-    0.461792105330424002E-01

Dim No.       Mean        Sigma
   1   -0.989177624474243816E-01    0.529896870043930335E+01
   2    0.804490165839236049E+00    0.526628433568975662E+01
   3   -0.266820516505516914E+00    0.181629239609167947E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.272594671899201391E+01
   2   -0.142077696019064348E+01
   3    0.900971265229557616E-01

MAP Parameters
Dim No.        Parameter
   1   -0.272594671899201391E+01
   2   -0.142077696019064348E+01
   3    0.900971265229557616E-01
